Capitaland Limited,,https://www.capitalandinvest.com/about-us/board-of-directors.html,,C31.SI,,,,,,
Mapletree Logistics Trust,,https://www.mapletreelogisticstrust.com/The-Manager/Board-of-Directors.aspx,,M44U.SI,,,,,,
Lee Chong Kwee,,,,,,,,
Lim Joo Boon,,,,,,,,
Wee Siew Kim,,,,,,,,
Tan Wah Yeow,,,,,,,,
Loh Shai Weng,,,,,,,,
Tarun Kataria,,,,,,,,
Lim Mei,,,,,,,,
Wong Mun Hoong,,,,,,,,
Wendy Koh Mui Ai,,,,,,,,
Goh Chye Boon,,,,,,,,
Ng Kiat,,,,,,,,
,,,,,,,,
Oversea-Chinese Banking Corp,,https://www.ocbc.com/group/about-us/our-leadership,,O39.SI,,,,,,
Ooi Sang Kuang,,,,,,,,
Chua Kim Chiu,,,,,,,,
Andrew Khoo Cheng Hoe,,,,,,,,
Koh Beng Seng,,,,,,,,
Lee Tih Shih,,,,,,,,
Christina Ong,,,,,,,,
Pramukti Surjaudaja,,,,,,,,
Tan Ngiap Joo,,,,,,,,
Tan Ngiap Joo,,,,,,,,
Tan Yen Yen,,,,,,,,
Wee Joo Yeow,,,,,,,,
,,,,,,,,
SATS,,https://www.sats.com.sg/about-sats/our-leadership,,S58.SI,,,,,,
Euleen Goh Yiu Kiang,,,,,,,,
Kerry Mok Tee Heong,,,,,,,,
Achal Agarwal,,,,,,,,
Vinita Bali,,,,,,,,
Chia Kim Huat,,,,,,,,
Michael Kok Pak Kuan,,,,,,,,
Jenny Lee Hong Wei,,,,,,,,
Deborah Ong,,,,,,,,
Jessica Tan Soon Neo,,,,,,,,
Tan Soo Nan,,,,,,,,
Yap Kim Wah,,,,,,,,
,,,,,,,,
Singapore Airlines,,https://www.singaporeair.com/en_UK/sg/about-us/information-for-investors/SIA-Director/#,,C6L.SI,,,,,,
Peter Seah Lim Huat,,,,,,,,
Goh Choon Phong,,,,,,,,
Gautam Banerjee,,,,,,,,
Simon Cheong Sae Peng,,,,,,,,
David John Gledhill,,,,,,,,
Goh Swee Chen,,,,,,,,
Dominic Ho Chiu Fai,,,,,,,,
Hsieh Tsun-yan,,,,,,,,
Lee Kim Shin,,,,,,,,
Jeanette Wong Kai Yuan,,,,,,,,
Yeoh Oon Jin,,,,,,,,
,,,,,,,,
SingTel,,https://www.singtel.com/about-us/company/leadership,,NA,,,,,,
Lee Theng Kiat,,,,,,,,
Yuen Kuan Moon,,,,,,,,
John Arthur,,,,,,,,
Gautam Banerjee,,,,,,,,
Venky Ganesan,,,,,,,,
Bradley Horowitz,,,,,,,,
Gail Kelly,,,,,,,,
Lim Swee Say,,,,,,,,
Christina Ong,,,,,,,,
Rajeev Suri,,,,,,,,
Teo Swee Lian,,,,,,,,
Wee Siew Kim,,,,,,,,
Yong Hsin Yue,,,,,,,,
,,,,,,,,
Singapore Exchange,,https://www.sgx.com/about-us,,S68.SI,,,,,,
Kwa Chong Seng,,,,,,,,
Loh Boon Chye,,,,,,,,
Beh Swan Gin,,,,,,,,
Chew Gek Khim,,,,,,,,
Chng Sok Hui,,,,,,,,
Kevin Kwok,,,,,,,,
Lim Chin Hu,,,,,,,,
Mark Makepeace,,,,,,,,
Subra Suresh,,,,,,,,
Yeoh Oon Jin,,,,,,,,
,,,,,,,,
United Overseas Bank,,https://www.uobgroup.com/uobgroup/about/management/board-of-directors.page,,U11.SI,,,,,,
Wee Cho Yaw,,,,,,,,
Wong Kan Seng,,,,,,,,
Wee Ee Cheong,,,,,,,,
Michael Lien Jown Leam,,,,,,,,
Alvin Yeo Khirn Hai,,,,,,,,
Wee Ee Lim,,,,,,,,
Steven Phan Swee Kim,,,,,,,,
Chai Tai Tee,,,,,,,,
Tracey Wong Kim Hong,,,,,,,,
Dinh Ba Thanh,,,,,,,,
Teo Lay Kim,,,,,,,,
,,,,,,,,
UOL Group,,https://www.uol.com.sg/about-uol/board-of-directors/,,U14.SI,,,,,,
Wee Cho Yaw,,,,,,,,
Wee Ee Lim,,,,,,,,
Liam Wee Sin,,,,,,,,
Tan Tiong Cheng,,,,,,,,
Poon Hon Thang Samuel,,,,,,,,
Wee Ee-Chao,,,,,,,,
Sim Hwee Cher,,,,,,,,
Lee Chin Yong Francis,,,,,,,,
Lau Cheng Soon,,,,,,,,
,,,,,,,,
Venture Corporation,,https://www.venture.com.sg/board-of-directors/,,V03.SI,,,,,,
Wong Ngit Liong,,,,,,,,
Koh Lee Boon,,,,,,,,
Wong Yew Meng,,,,,,,,
Jonathan Huberman,,,,,,,,
Han Thong Kwang,,,,,,,,
Kay Kuok Oon Kwong,,,,,,,,
Tan Seok Hoong@Mrs Audrey Liow,,,,,,,,
Wong-Yeo Siew Eng,,,,,,,,
Chua Kee Lock,,,,,,,,
,,,,,,,,
Wilmar International,,https://www.wilmar-international.com/annualreport2018/05-1-bod.html,,F34.SI,,,,,,
KUOK KHOON HONG,,,,,,,,
PUA SECK GUAN,,,,,,,,
TEO LA-MEI,,,,,,,,
KUOK KHOON EAN,,,,,,,,
Kuok Khoon Hua,,,,,,,,
Raymond Guy Young,,,,,,,,
Yeo Teng Yang,,,,,,,,
Tay Kah Chye,,,,,,,,
Kwah Thiam Hock,,,,,,,,
Kishore Mahbubani,,,,,,,,
Lim Siong Guan,,,,,,,,
Weijian Shan,,,,,,,,
Juan Ricardo Luciano,,,,,,,,
,,,,,,,,
Yangzijiang Shipbuilding Holdings,,https://www.wsj.com/market-data/quotes/SG/XSES/BS6/company-people/executive-profile/185544539,,BS6.SI,,,,,,
Le Tian Ren,,,,,,,,
Shu Ming Song,,,,,,,,
Xu Wen Jiong,,,,,,,,
Yi-Dar Teo,,,,,,,,
Teck Leng Chen,,,,,,,,
,,,,,,,,
Singapore Technologies Engineering,,https://www.stengg.com/en/about/board-of-directors/,,S63.SI,,,,,,
Kwa Chong Seng,,,,,,,,
Vincent Chong Sy Feng,,,,,,,,
Joseph Leong Weng Keong,,,,,,,,
Kevin Kwok,,,,,,,,
Lim Ah Doo,,,,,,,,
Lim Chin Hu,,,,,,,,
Lim Sim Seng,,,,,,,,
Ng Bee Bee,,,,,,,,
Ong Su Kiat Melvyn,,,,,,,,
Quek See Tiat,,,,,,,,
Song Su-Min,,,,,,,,
Tan Peng Yam,,,,,,,,
Teo Ming Kian,,,,,,,,
Cai Dexian,,,,,,,,
